species,age,weight,affection,appetite,vaccinated,injury,wound,overall_health
Dog,13,25.19,1.8,3.6,0,1,1,9.7491
Dog,14,35.6,9.0,4.2,1,1,0,29.6702
Cow,5,16.94,5.7,5.3,0,0,1,44.0529
Dog,9,4.97,9.2,5.6,0,1,1,0.7963
Cat,11,31.8,3.9,3.8,0,1,0,5.6665
Dog,11,15.51,3.6,4.7,0,0,0,24.1077
Cow,7,25.91,2.8,4.5,1,1,1,4.134
Dog,13,15.7,10.0,8.7,1,1,0,17.2349
Dog,3,12.42,8.3,5.8,1,1,0,5.5139
Cow,2,19.69,5.5,5.7,0,1,1,21.9572
Cow,3,22.03,9.0,9.2,1,1,1,33.6606
Cat,6,14.11,6.4,9.7,1,1,1,11.3606
Rabbit,10,47.31,2.4,9.5,1,0,0,77.974
Cow,15,5.35,5.8,3.7,1,0,0,71.3638
Cat,3,40.55,7.6,6.3,1,1,1,1.7878
Rabbit,13,47.62,3.3,4.3,1,1,1,21.7786
Rabbit,3,43.71,9.5,2.2,1,0,1,39.3048
Rabbit,3,44.38,4.1,5.5,1,1,1,24.7376
Cat,7,36.68,8.6,8.8,1,1,1,30.1132
Cow,7,4.59,3.5,9.0,1,0,0,54.7957
Cat,6,17.87,8.6,2.0,1,1,0,32.0021
Rabbit,2,33.47,9.4,5.1,0,0,1,5.5996
Rabbit,14,9.01,7.7,5.9,1,1,0,8.3709
Cat,4,13.39,6.4,9.3,1,0,0,91.7643
Rabbit,15,35.96,6.0,2.0,1,0,1,6.1895
Cow,3,26.92,8.2,2.5,1,1,0,3.7247
Rabbit,9,21.28,7.2,5.3,1,1,0,5.3291
Cow,9,33.16,2.3,7.3,0,0,0,18.7537
Rabbit,14,35.75,5.2,8.7,0,1,0,15.5885
Dog,15,14.1,9.9,3.7,0,0,1,44.4192
Cat,15,24.94,6.4,1.2,0,0,1,42.6826
Rabbit,11,18.81,4.9,1.6,0,0,1,16.3642
Dog,4,8.85,4.9,6.5,0,0,1,35.9353
Cow,13,8.7,1.1,4.7,0,0,1,37.4339
Rabbit,5,38.49,6.4,4.7,0,1,0,12.7648
Cat,14,28.64,3.4,9.0,1,0,0,92.0189
Cat,7,49.49,1.6,9.5,0,0,1,21.2049
Rabbit,13,30.52,6.5,1.6,0,0,1,34.2884
Dog,14,44.95,7.1,3.6,0,1,1,48.3067
Dog,1,40.17,1.6,9.2,0,0,1,27.7441
Cow,14,4.25,6.7,4.2,0,1,0,39.3892
Dog,11,24.91,8.1,6.7,1,0,0,65.1119
Rabbit,2,16.04,1.9,8.2,1,0,1,42.355
Rabbit,11,20.73,1.9,4.1,1,0,0,76.4951
Cat,1,34.26,9.3,9.3,1,0,0,82.1507
Cat,1,2.68,3.7,8.5,0,0,1,39.8876
Cat,13,27.65,2.3,6.4,1,0,0,71.5024
Rabbit,13,19.25,9.1,7.2,0,0,0,15.6524
Dog,8,46.45,3.1,5.0,0,0,0,13.5114
Rabbit,6,31.72,6.8,4.1,0,0,0,38.1607
Cow,10,37.93,4.7,9.8,0,0,0,31.9612
Cat,6,17.68,5.9,7.5,1,0,1,18.043
Rabbit,12,4.16,2.4,5.8,0,0,0,6.1007
Dog,15,26.24,3.7,2.5,1,0,0,88.5542
Cat,10,34.1,5.9,3.8,1,0,1,33.6143
Dog,6,41.45,4.7,2.6,1,0,0,73.0871
Cow,14,48.43,4.0,1.6,0,0,1,28.9638
Cow,2,48.48,6.4,9.6,1,0,1,0.6504
Rabbit,15,46.52,6.9,4.1,0,1,1,45.5353
Cow,15,11.72,4.1,4.6,1,1,0,31.3136
Rabbit,7,47.69,3.0,7.5,0,0,0,28.5475
Rabbit,6,7.23,4.5,3.8,0,1,0,7.225
Cow,12,38.0,1.0,5.8,1,1,1,32.4335
Cow,15,7.72,2.2,6.7,1,1,0,5.8423
Cat,5,35.56,9.2,1.6,1,1,0,10.1917
Cow,10,26.55,8.0,3.6,0,1,0,10.6492
Dog,1,44.16,4.0,9.9,0,1,0,14.1037
Cat,2,41.34,5.6,8.6,0,1,1,6.6353
Cow,3,27.19,4.7,4.0,0,0,0,19.6
Cow,12,41.77,1.9,4.9,1,0,1,27.6654
Rabbit,1,14.24,1.6,4.2,0,0,1,37.5368
Dog,4,1.74,9.5,6.8,1,0,1,35.3773
Cat,14,15.54,6.1,4.7,1,0,1,43.7063
Rabbit,14,39.77,3.4,2.9,0,0,0,5.4269
Cat,15,47.61,1.9,9.8,0,0,1,44.8298
Cat,9,49.45,8.0,9.5,0,0,0,16.1183
Dog,2,11.26,7.3,1.1,1,0,1,30.5651
Cat,8,12.61,2.7,1.6,1,0,1,43.7017
Cow,10,5.21,7.5,7.8,1,1,1,12.2545
Cat,8,3.51,8.0,8.7,1,1,0,28.8829
Cat,5,17.29,1.5,6.9,1,1,0,32.5146
Cow,9,8.76,3.2,9.4,1,1,1,42.366
Dog,7,43.29,4.2,6.5,0,0,0,22.6767
Rabbit,10,42.51,6.6,3.7,0,0,0,36.7724
Dog,7,42.42,2.7,8.0,1,1,1,32.9482
Rabbit,1,17.63,6.0,8.4,1,1,1,7.2267
Rabbit,8,39.62,9.9,10.0,0,1,0,25.9228
Rabbit,11,19.33,5.5,5.6,0,1,0,34.7527
Rabbit,9,32.12,6.9,10.0,0,0,0,47.4929
Dog,3,11.25,8.6,4.8,0,1,0,31.0365
Cow,14,11.34,6.1,7.8,0,1,0,45.275
Rabbit,6,3.52,1.9,9.3,1,1,0,34.4062
Rabbit,6,30.46,3.6,7.6,1,1,0,19.8982
Cat,6,34.14,5.1,6.7,0,0,0,10.2327
Rabbit,3,2.82,5.1,4.7,1,0,1,23.2292
Dog,5,11.4,7.4,5.3,0,1,1,18.1621
Rabbit,9,32.59,9.5,4.1,0,0,0,21.8007
Cow,14,44.34,3.9,4.1,0,1,1,2.677
Dog,6,41.96,9.7,9.6,1,1,1,4.3523
Cat,15,17.8,7.8,8.1,0,1,0,37.0154
Dog,5,47.06,4.6,1.3,0,1,0,29.3267
Cat,2,48.6,3.5,2.3,0,0,1,35.4476
Cat,2,44.54,9.6,8.8,1,1,0,6.6718
Cow,5,36.85,4.9,6.8,0,0,1,43.4006
Cat,8,33.72,9.0,3.0,0,0,1,18.0788
Dog,9,35.83,5.8,9.4,1,1,1,47.0336
Cat,5,28.22,2.2,3.4,1,0,1,7.2049
Rabbit,15,36.67,8.0,1.7,1,0,0,56.7759
Rabbit,6,47.76,5.4,1.4,0,1,1,31.062
Cat,3,12.5,8.2,9.3,0,0,1,0.8202
Rabbit,1,45.97,4.8,1.8,1,1,1,4.5596
Rabbit,13,39.55,6.4,4.3,1,0,0,80.2223
Cat,7,12.89,9.7,9.8,0,1,1,47.4247
Dog,9,37.53,4.2,9.5,0,1,1,34.3096
Rabbit,15,29.27,3.7,5.8,0,0,1,40.0487
Cat,15,15.11,1.9,4.7,0,0,0,6.1256
Cat,12,44.91,8.9,4.2,1,1,0,15.5141
Cow,13,49.04,6.9,1.9,1,0,1,4.5056
Cat,7,38.46,1.6,4.7,0,1,0,17.7795
Rabbit,1,17.62,10.0,1.4,1,1,1,27.1077
Cat,14,10.93,3.9,7.8,0,0,0,11.1344
Cow,4,45.61,6.7,4.8,1,1,0,7.3179
Cat,6,17.0,1.8,9.7,1,0,1,36.6849
Cow,10,39.04,7.1,8.9,1,0,0,94.3251
Rabbit,11,10.93,2.1,5.5,0,0,0,29.4618
Rabbit,15,32.82,5.9,7.2,0,1,1,8.2177
Rabbit,11,42.87,7.0,6.4,0,1,0,38.1184
Dog,11,34.28,9.3,9.7,0,0,1,5.7013
Cow,15,23.22,3.1,7.1,0,1,1,31.76
Dog,15,41.68,2.6,2.5,1,0,1,28.3006
Dog,3,36.85,3.8,3.8,0,1,1,44.3746
Dog,4,26.0,6.6,9.3,1,1,0,21.9522
Rabbit,13,39.4,4.4,2.8,0,0,1,31.3697
Rabbit,2,7.35,8.5,9.9,0,1,1,34.3626
Cat,9,35.42,7.1,6.9,1,1,0,1.1509
Dog,11,12.44,3.0,1.9,1,0,1,36.4055
Cat,14,21.96,1.9,2.6,0,0,1,18.8981
Cat,8,45.39,2.6,4.9,0,0,0,12.1618
Dog,14,38.25,1.1,4.9,0,1,0,30.6675
Rabbit,1,40.57,9.6,3.0,1,1,1,33.9606
Cat,6,36.52,6.1,7.4,0,0,1,22.6953
Dog,10,43.29,1.3,8.0,1,0,1,20.2671
Cow,12,49.91,2.9,4.5,1,0,0,98.9606
Rabbit,6,49.93,8.9,3.4,0,0,1,15.0762
Cow,1,19.11,6.6,3.8,1,0,0,55.367
Cat,8,6.89,1.1,1.6,1,0,0,76.1479
Cow,2,41.89,1.1,8.6,1,0,0,95.9528
Dog,12,48.58,1.1,9.7,0,1,1,12.8346
Cat,5,49.12,7.1,9.8,0,1,0,21.4833
Cat,4,19.85,6.4,8.1,0,1,1,45.6669
Cat,5,33.87,7.0,5.9,1,1,1,35.1751
Cat,8,20.34,3.5,2.0,1,0,1,33.4372
Cow,10,26.62,6.7,3.6,0,1,0,42.7794
Cow,5,5.81,2.7,6.4,1,1,0,21.0885
Cow,10,22.34,7.4,7.1,1,1,0,13.245
Rabbit,7,41.41,1.6,5.0,0,0,0,6.8534
Cow,10,48.79,5.3,6.2,0,0,0,35.3351
Cow,4,19.75,8.0,2.5,1,0,0,71.3568
Cow,12,29.0,8.7,4.4,0,1,1,25.4826
Dog,10,21.39,3.2,8.8,1,0,1,1.3857
Cat,12,40.28,6.3,5.8,1,1,1,33.7436
Cat,1,34.35,8.0,2.3,0,1,1,11.6224
Dog,15,4.82,6.3,10.0,0,0,0,0.7893
Rabbit,15,10.4,2.2,2.6,0,1,1,20.4377
Rabbit,8,47.44,8.2,5.4,0,0,0,22.361
Cat,6,27.33,10.0,7.3,1,1,1,39.1796
Cow,12,44.18,7.3,5.1,0,0,1,8.0211
Cat,3,24.8,4.0,3.1,1,1,1,5.3097
Dog,10,29.94,1.5,2.0,1,0,0,90.1113
Cat,1,19.12,9.8,8.7,1,0,0,83.2994
Dog,6,13.61,3.6,1.0,1,0,0,60.1362
Rabbit,13,31.9,1.9,7.1,1,0,1,19.1179
Cat,1,17.11,2.9,5.4,0,1,0,10.932
Rabbit,9,1.13,3.4,1.9,1,1,1,17.9338
Rabbit,4,42.77,8.0,2.2,1,1,1,12.2392
Cat,4,23.47,3.0,8.0,0,1,0,37.7951
Cow,6,49.34,3.2,2.3,0,1,1,37.5223
Cow,12,19.03,8.6,7.0,1,0,0,82.2497
Rabbit,7,1.05,4.9,1.3,0,1,1,0.2093
Cow,14,12.39,7.6,9.8,0,0,1,39.2622
Dog,3,14.7,6.0,5.9,1,0,0,94.4364
Cat,2,15.54,7.7,3.1,1,1,0,19.4676
Dog,15,9.84,5.9,6.5,0,1,1,10.6953
Rabbit,9,23.79,5.3,6.2,1,1,1,6.7807
Cow,11,7.56,8.8,2.0,1,1,0,9.1186
Cow,12,4.11,2.5,5.3,0,1,0,36.3625
Dog,6,25.76,7.1,5.4,1,0,0,55.7763
Rabbit,13,23.61,5.9,2.0,1,1,1,47.0776
Dog,13,17.52,5.4,8.9,0,1,1,37.5319
Cow,8,13.22,9.8,4.3,0,1,1,35.0237
Cow,6,34.04,6.5,6.8,1,1,0,42.9219
Cat,13,4.81,5.8,2.2,0,1,0,24.533
Cat,1,40.69,1.9,5.4,0,0,0,36.5616
Cow,3,1.62,3.0,3.9,1,1,1,41.8329
Dog,12,47.07,3.2,2.8,0,0,1,12.6235
Cat,2,48.49,6.9,7.0,1,1,0,20.0195
Cat,13,7.04,2.8,4.3,0,1,0,11.7732
Cow,12,16.39,5.8,8.5,1,1,1,8.7197
Cat,15,13.05,5.4,8.6,0,0,1,24.8886
Cow,7,17.75,4.7,5.2,1,0,0,60.0172
Cat,6,32.87,9.9,2.1,0,1,1,7.245
Dog,7,5.51,8.3,7.9,0,1,1,22.1163
Cow,1,42.86,4.7,8.8,1,1,0,23.816
Rabbit,12,29.79,2.7,2.5,1,0,1,46.7173
Dog,6,16.82,1.6,8.6,0,1,1,23.8609
Dog,13,10.58,5.6,3.6,1,1,0,15.1632
Cat,15,23.75,4.1,9.0,1,1,1,39.4623
Dog,2,33.51,7.0,8.6,0,1,1,17.4017
Rabbit,11,31.36,3.9,3.9,0,1,1,10.4478
Cat,6,15.85,3.7,5.9,1,0,1,17.8611
Dog,15,44.55,8.2,3.3,0,0,0,10.027
Cow,3,19.23,3.3,9.2,1,1,0,15.0704
Rabbit,3,20.04,5.0,3.5,1,1,0,37.2032
Cow,2,39.64,2.6,7.3,0,0,0,38.077
Rabbit,3,39.79,5.8,8.3,1,0,0,70.5458
Dog,9,13.42,4.7,4.1,1,0,1,42.9724
Rabbit,13,31.87,8.2,5.6,1,1,0,18.2661
Cat,5,33.77,1.5,3.9,1,0,1,24.3389
Rabbit,3,35.92,8.9,7.8,0,1,1,37.2415
Dog,12,14.35,8.1,7.9,1,1,1,34.1108
Cat,9,5.5,3.3,2.9,1,1,0,19.4881
